#OTU_IDs	trait1
Mesorhizobium_sangaii-_-EU514525--_SCAU7_T	24.0
Marinobacter_vulgaris-_-KY344788--_F01_T	25.0
Halospirulina_tapeticola-_-Y18791--_CCC_Baja-95_Cl.2_T	44.0
Psychrobacter_pocilloporae-_-KT444699--_S6-60_T	25.0
Streptomyces_parvus-_-DQ442537--_NRRL_B-1455T_T	26.0
Pelosinus_fermentans-_-LK391729--_DSM_17108_T	25.0
Paraconexibacter_antarcticus-_-ON814778--_02-257T	31.0
Vogesella_amnigena-_-LK056648--_Npb-02_T	28.0
Thiothrix_unzii-_-L79961--_A1-_ATCC_49747_T	21.0
g__53460	27.0
Marinobacterium_boryeongense-_-KX832989--_DMHB-2_T	19.0
Halobacillus_karajensis-_-AJ486874--_DSM_14948_T	28.0
g__2822114	29.0
Thermophilibacter_gallinarum-_-MN055918--_ClaCZ62_T	34.0
g__422440	34.0
Actinomadura_xylanilytica-_-FR692101--_BK147_T	27.0
Thermodiscus_maritimus-_-X99554--_S2_T	85.0
Roseibium_marinum-_-AY628423--_mano18_T	27.0
g__2023705	23.0
Parapseudoflavitalea_muciniphila-_-MH002344--_PMP191F_T	23.0
Oenococcus_alcoholitolerans-_-HQ009794--_UFRJ-M7.2.18_T	25.0
Nocardioides_daphniae-_-AM398438--_D287_T	25.0
Amylibacter_kogurei-_-KY463497--_4G11_T	9.0
Methylobacterium_symbioticum-_-MN154398--_CECT_9862_T	26.0
Methanococcoides_methylutens-_-FR733669--_DSM2657_T	28.0
Modestobacter_caceresii-_-JPMX01000078--_KNN45-2b_T	22.0
Kitasatospora_cystarginea-_-U93318--_JCM_7356_T	25.0
Gelidibacter_flavus-_-KU513826--_Con4_T	12.0
Bifidobacterium_ramosum-_-KU051447--_TRE_M_T	34.0
Natronorubrum_texcoconense-_-AB935414--_JCM_17497_T	39.0
Leclercia_tamurae-_-OM987255--_H6S3T	29.0
Sulfitobacter_brevis-_-Y16425--_Ekho_Lake-162_T	20.0
Clostridium_innocuum-_-M23732--_B-3_T	33.0
Natroniella_acetigena-_-FR749904--_DSM_9952_T	30.0
g__2811380	28.0
Ureaplasma_parvum-_-AF073456--_ATCC27815_T	28.0
g__2811387	20.0
Brevibacillus_schisleri-_-MXAR01000000--_ATCC_35690_T	28.0
Melaminivora_alkalimesophila-_-JQ676982--_CY1_T	25.0
Dielma_fastidiosa-_-JF824807--_JC13_T	34.0
g__2291840	29.0
Bradyrhizobium_huanghuaihaiense-_-HQ231463--_CCBAU_23303_T	26.0
Prevotella_falsenii-_-AB429504--_04052_-=_JCM_15124-_T	33.0
Homoserinibacter_gongjuensis-_-JQ639055--_5GH_26-15_T	25.0
g__1779002	35.0
Salinicola_rhizosphaerae-_-KF898345--_MSSRFH1_T	20.0
g__1653176	25.0
g__1653174	35.0
Neorhizobium_alkalisoli-_-EU074168--_CCBAU_01393_T	12.0
Actibacter_haliotis-_-KC193210--_W113_T	21.0
Deinococcus_malanensis-_-KT581022--_T93_T	25.0
Thermogemmatispora_carboxidivorans-_-KF193526--_PM5_T	48.0
Anoxynatronum_buryatiense-_-EU315116--_Su22_T	33.0
Parabacteroides_chartae-_-JN029805--_NS31-3_T	34.0
Actinocorallia_aurantiaca-_-AJ293701--_IMSNU_22193T_T	26.0
Nucisporomicrobium_flavum-_-MW250207--_NEAU-24_T	25.0
Natronincola_ferrireducens-_-EU878275--_Z-0511_T	31.0
Chromohalobacter_beijerinckii-_-AB021386--_ATCC_19372_T	20.0
Anaerococcus_lactolyticus-_-AB673373--_JCM_8140_T	34.0
g__2750262	27.0
Streptomyces_chilikensis-_-JN050256--_RC_1830_T	24.0
Halomonas_dongshanensis-_-ON692516--_aquaculturedongshan1T	25.0
Zobellia_uliginosa-_-AB680724--_NBRC_14962_T	26.0
Bifidobacterium_gallicum-_-D86189--_JCM_8224_T	34.0
Flavobacterium_daejeonense-_-DQ222427--_GH1-10_T	20.0
Dissulfurirhabdus_thermomarina-_-KU051627--_SH388_T	29.0
Vibrio_oceanisediminis-_-KM099166--_S37_T	25.0
Streptomyces_justiciae-_-LC497890--_3R004_T	25.0
Haematobacter_missouriensis-_-JFGS01000070--_CCUG_52307_T	25.0
Halanaerobium_fermentans-_-AB023308--_R-9_LTP__T	50.0
Sulfitobacter_indolifex-_-AJ550939--_Hel_45_T	21.0
Muricauda_marina-_-KU315479--_H19-56_T	26.0
Streptomyces_xantholiticus-_-AB184349--_NBRC_13354_T	26.0
Buttiauxella_agrestis-_-AJ233400--_DSM_4586_T	28.0
Tunicatimonas_pelagia-_-AB602437--_N5DB8-4_T	11.0
Collinsella_ihumii-_-LN881598--_GD8T	34.0
Syntrophomonas_bryantii-_-HE654006--_DSM_3014_T	45.0
Alkalilimnicola_halodurans-_-AJ404972--_34Alc_LTP__T	27.0
Legionella_lytica-_-X66835--_PCM_2298_T	29.0
Tepidicella_xavieri-_-DQ295805--_TU-16_T	26.0
g__186191	65.0
Bacillus_aerophilus-_-AJ831844--_28K_T	40.0
Longibacter_salinarum-_-KU954547--_WDS2C18_T	34.0
Nocardia_acidivorans-_-AM402972--_GW4-1778_T	25.0
Muribaculum_gordoncarteri-_-MK521455--_TLL-A4_T	31.0
Acinetobacter_brisouii-_-DQ832256--_5YN5-8_T	25.0
Camelimonas_abortus-_-FR851926--_UK34/07-5_T	23.0
Neobacillus_mesonae-_-JX262263--_FJAT-13985_T	28.0
g__2812952	24.0
Ideonella_dechloratans-_-X72724--_CCUG_30977_T	29.0
Heliomicrobium_sulfidophilum-_-AF249678--_BR4_-T-_T	36.0
g__1241326	25.0
Caenimonas_aquaedulcis-_-OL587860--_DR4-4T	24.0
Streptomyces_bangladeshensis-_-AY750056--_AAB-4_T	25.0
Trebonia_kvetii-_-MN209171--_15TR583_T	31.0
Solimonas_flava-_-EF154515--_CW-KD_4_T	28.0
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	24.0
Tetragenococcus_osmophilus-_-EU522083--_T1_T	27.0
Rhizobium_viscosum-_-AJ639832--_LMG_16473_T	18.0
Heliorestis_daurensis-_-AF079102--_BT-H1_T	36.0
Aequorivita_echinoideorum-_-KM085326--_CC-CZW007_T	18.0
g__64895	32.0
g__1817571	31.0
Natronoglycomyces_albus-_-KY775645--_ACPA22_T	25.0
Pedobacter_frigiditerrae-_-MK183015--_RP-1-13_T	24.0
Aliiroseovarius_sediminis-_-OM943767--_N1F302T	9.0
Staphylococcus_saprophyticus_subsp._bovis-_-AB233327--_GTC_843_T	31.0
Sediminibacterium_lactis-_-JQ638910--_LCJ02_T	23.0
g__2282756	27.0
Aridibacter_famidurans-_-KF245634--_A22_HD_4H_T	25.0
g__633413	26.0
Microbulbifer_guangxiensis-_-OM349540--_L3T	27.0
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	28.0
Rathayibacter_rubneri-_-ON892742--_ZWT2_19_T	26.0
Paenibacillus_turpanensis-_-MT032315--_YIM_B00363_T	29.0
Streptomyces_inusitatus-_-AB184445--_NBRC_13601_T	26.0
Azohydromonas_sediminis-_-MH046066--_SYSU_G00088_T	33.0
Salisediminibacterium_selenitireducens-_-CP001791--_MLS10_T	30.0
Geomonas_ferrireducens-_-MH915555--_S62_T	23.0
Micromonospora_lupini-_-AJ783996--_Lupac_14N_T	25.0
Lysobacter_selenitireducens-_-MZ643208--_13AT	23.0
Pandoraea_pulmonicola-_-AF139175--_LMG_18106_T	30.0
Rhizobacter_dauci-_-AB297965--_H6_-=ATCC43778-_T	32.0
Microbacterium_zeae-_-KT003983--_1204_T	31.0
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	31.0
Pseudophaeobacter_flagellatus-_-OL635555--_MA21411-1_T	22.0
Campylobacter_novaezeelandiae-_-MK791741--_B423b_T	36.0
Aequorivita_todarodis-_-MF962575--_MYP2-2_T	17.0
Paenibacillus_solani-_-KM978206--_FJAT-22460_T	31.0
Mannheimia_ovis-_-MH254941--_ZY170218_T	34.0
Bartonella_acomydis-_-AB602533--_KS2-1_T	35.0
Mangrovibacter_phragmitis-_-KP319034--_MP23_T	35.0
Pseudomonas_kermanshahensis-_-JABWRY000000000--_SWRI100T	28.0
Anoxybacillus_caldiproteolyticus-_-AY327448--_ATCC_BAA-818-_DSM_15730_T	56.0
Massilia_agrisoli-_-MT514500--_MAHUQ-52T	25.0
g__1392389	31.0
Xenorhabdus_poinarii-_-X82253--_DSM_4768_T	26.0
Bernardetia_litoralis-_-AB681019--_NBRC_15988_T	25.0
Alteromonas_lipotrueae-_-JAESDJ010000001--_MD_674T	28.0
Fusibacter_tunisiensis-_-FR851323--_BELH1_T	35.0
Photobacterium_frigidiphilum-_-AY538749--_SL13_T	24.0
g__434	28.0
Helicobacter_mastomyrinus-_-AY742307--_MIT_97-5574_T	34.0
Pandoraea_capi-_-LR536850--_LMG_20602_T	29.0
g__1172191	26.0
Pedobacter_ginsenosidimutans-_-GU138374--_THG-45_T	24.0
Liquorilactobacillus_vini-_-AJ576009--_CECT_5924_T	33.0
Pseudomonas_moorei-_-AM293566--_RW10_T	27.0
Halorubrum_sodomense-_-AB663420--_JCM_8880_T	38.0
Desulfocicer_niacini-_-FR733668--_DSM2650_T	24.0
Methanocella_conradii-_-JN048683--_HZ254_T	35.0
Vibrio_hispanicus-_-AY254040--_LMG_13240_T	24.0
Hymenobacter_terrae-_-KF862488--_DG7A_T	17.0
Altererythrobacter_troitsensis-_-AY676115--_KMM_6042_T	25.0
Gemmatimonas_phototrophica-_-CP011454--_AP64_n_T	32.0
Faecalicatena_orotica-_-FR749917--_DSM_1287_T	34.0
Goekera_deserti-_-MK392028--_CPCC205119T_T	22.0
Streptomyces_fradiae-_-AB184134--_NBRC_12773_T	24.0
Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	27.0
Lactococcus_hodotermopsidis-_-LC523828--_Hs30E4_3_T	33.0
Amycolatopsis_cappadoca-_-KX608880--_AG28_T	32.0
Haloparvum_alkalitolerans-_-AB638839--_MK62-1_T	35.0
Modestobacter_multiseptatus-_-Y18646--_AA826_LTP__T	20.0
Sphingomonas_aurantiaca-_-AJ429236--_MA101b_T	27.0
Kingella_oralis-_-ACJW02000005--_ATCC_51147_T	34.0
Sinomonas_flava-_-EU370704--_CW_108_T	23.0
Micromonospora_terminaliae-_-KX394339--_TMS7_T	25.0
Acinetobacter_indicus-_-JQ608323--_1NM-4_T	26.0
Yoonia_tamlensis-_-DQ533556--_SSW-35_T	23.0
Pseudochrobactrum_algeriensis-_-MZ227818--_C130915_07T	27.0
Yoonia_vestfoldensis-_-AJ582226--_LMG_22003_T	23.0
Nesterenkonia_natronophila-_-MH225769--_M8_T	30.0
Azospira_oryzae-_-AF011347--_6a3_T	31.0
g__58120	27.0
g__58122	27.0
Amaricoccus_macauensis-_-U88042--_Ben104_T	24.0
Saccharothrix_algeriensis-_-AY054972--_NRRL_B-24137_T	25.0
Streptomyces_murinus-_-AB184155--_NBRC_12799_T	23.0
Lacrimispora_algidixylanolytica-_-AF092549--_SPL73_T	34.0
Paenibacillus_wynnii-_-AJ633647--_LMG_22176_T	28.0
Enterococcus_alishanensis-_-AB807774--_ALS3_T	34.0
Megamonas_rupellensis-_-EU346729--_FM1025_T	34.0
Mycoplasma_glycophilum-_-AF412981--_486-T-_T	34.0
Allohahella_antarctica-_-EF495227--_IMCC3113_T	22.0
Saccharopolyspora_tripterygii-_-FJ214364--_YIM_65359_T	29.0
Campylobacter_pinnipediorum_subsp._pinnipediorum-_-CP012546--_RM17260_T	35.0
Thiomicrospira_pelophila-_-L40809--_DSM_1534_T	29.0
Natribaculum_breve-_-KF739011--_TRM20010_T	32.0
Shouchella_oshimensis-_-AB188090--_K11_T	31.0
Desulfosoma_profundi-_-HM056226--_SPDX02-08_T	32.0
Piscibacillus_halophilus-_-FM864227--_HS224_T	29.0
Carnobacterium_funditum-_-S86170--_pf3_T	28.0
Desulfosarcina_cetonica-_-AJ237603--_DSM_7267_T	27.0
Sphingobacterium_gobiense-_-KF318647--_H7_T	13.0
Bradyrhizobium_oligotrophicum-_-JQ619230--_LMG_10732_T	26.0
Parolsenella_massiliensis-_-LT598582--_Marseille-P3237_T	34.0
g__2016	28.0
Belliella_alkalica-_-KR233207--_R4-6_/type_materialtype_strain_of_Belliella_alkalicaT	24.0
g__2013	37.0
Promicromonospora_citrea-_-X83808--_DSM_43110T_T	25.0
Pseudomonas_indica-_-AF302795--_IMT37_LTP__T	28.0
Azospirillum_fermentarium-_-JX843282--_CC-LY743_T	24.0
Zunongwangia_pacifica-_-OK493753--_C2-37M9T	24.0
g__2884243	24.0
Paraburkholderia_bryophila-_-AM489501--_LMG_23644_T	28.0
Providencia_stuartii-_-AF008581--_ATCC_29914_T	30.0
Flavobacterium_aquatile-_-AM230485--_DSM_1132_T	20.0
g__351094	27.0
Nocardia_brasiliensis-_-AF430038--_DSM_43758_T	30.0
Dictyobacter_vulcani-_-LC422201--_W12_T	47.0
g__2898489	35.0
Duganella_radicis-_-EU672807--_Sac-41_T	26.0
Lentzea_alba-_-MT117827--_NEAU-D13_T	26.0
Rufibacter_immobilis-_-HG316123--_MCC_P1_T	17.0
Hydrogenophilus_thiooxidans-_-MW788560--_SS56_T	34.0
Halorubrum_orientale-_-AB663418--_CECT_7145_T	34.0
Peptoniphilus_rhinitidis-_-HM801866--_1-13_T	34.0
Furfurilactobacillus_milii-_-OK661007--_FUA3430_T	27.0
Serratia_proteamaculans-_-AJ233434--_DSM_4543_T	26.0
Hyphomicrobium_vulgare-_-AB543807--_JCM_6889_T	13.0
Moritella_abyssi-_-AJ252022--_2693_T	9.0
Stenotrophomonas_bentonitica-_-LT622838--_BII-R7_T	26.0
Natranaeroarchaeum_aerophilum-_-MG584707--_AArc-St1-1_/type_materialtype_strain_of_NatranaeroarchaeumaerophilumT	32.0
Beijerinckia_indica_subsp._indica-_-CP001016--_ATCC_9039_T	19.0
Helicobacter_enhydrae-_-CP016503--_MIT_01-6242_T	35.0
g__34019	27.0
Porphyromonas_asaccharolytica-_-CP002689--_DSM_20707_T	35.0
Arcobacter_bivalviorum-_-FJ573217--_F4_T	23.0
g__299568	35.0
Glutamicibacter_ardleyensis-_-AJ551163--_An25_T	26.0
g__299566	22.0
Streptomyces_albidus-_-GU434243--_CAP_215T	23.0
Actinomadura_rayongensis-_-AB889544--_RY35-68_T	28.0
Frateuria_terrea-_-EU682683--_VA24_T	25.0
Fodinicola_feengrottensis-_-EF490376--_HKI_0501_T	25.0
Leptospira_weilii-_-U12676--_serogroup_Celledoni-_serovar_celledoni-_strain_Celledoni_-ATCC_43285-_T	27.0
Streptomyces_chromofuscus-_-AB184194--_NBRC_12851_T	25.0
Streptomyces_sedi-_-EU925562--_YIM_65188_T	25.0
Actinopolyspora_alba-_-GQ480940--_YIM_90480_T	23.0
Bifidobacterium_xylocopae-_-MG597278--_XV2_T	34.0
g__55968	26.0
Corynebacterium_afermentans_subsp._lipophilum-_-X82055--_CIP_103500_T	35.0
g__2035978	44.0
Aromatoleum_toluolicum-_-AF129465--_T_s_T	26.0
Lactococcus_reticulitermitis-_-BEDT01000000--_Rs-Y01_T	34.0
Lutibacter_oceani-_-KX279953--_325-5_T	21.0
Thalassobius_litorarius-_-KP410684--_MME-075_T	16.0
Mariniphaga_anaerophila-_-AB921558--_Fu11-5_T	28.0
Actinopolymorpha_cephalotaxi-_-EU438909--_I06-2230_T	25.0
Mycobacterium_heckeshornense-_-AF174290--_S369_T	32.0
Salinicola_tamaricis-_-KT343976--_F01_T	20.0
g__56433	27.0
Polynucleobacter_meluiroseus-_-MF872602--_AP-Melu-1000-B4_T	24.0
g__1472762	32.0
g__1472763	34.0
Leclercia_pneumoniae-_-OK161083--_49125_T	31.0
Campylobacter_sputorum_subsp._bubulus-_-DQ174151--_NCTC_11367_T	34.0
g__2035353	44.0
Xenorhabdus_japonica-_-DQ202310--_DSM16522T_T	32.0
Salinarchaeum_laminariae-_-HM159601--_R26_T	32.0
Lactiplantibacillus_plantarum_subsp._plantarum-_-ACGZ02000033--_ATCC_14917_T	27.0
Pedobacter_metabolipauper-_-AM491370--_WB2.3-71_T	24.0
Elizabethkingia_occulta-_-MH789418--_G4070_T	30.0
Ferruginibacter_alkalilentus-_-FJ177530--_HU1-GD23_T	21.0
g__2986345	25.0
g__2986344	25.0
Gemmata_massiliana-_-JX088244--_IIL30_/type_materialtype_strain_of_Gemmata_massilianaT	26.0
g__367298	27.0
Hydrocarboniphaga_daqingensis-_-EU313812--_B2-9_T	26.0
Actinocorallia_libanotica-_-AB364592--_NBRC_14095_T	26.0
Flavobacterium_urocaniciphilum-_-AB795015--_YIT_12746_T	18.0
g__28905	31.0
Micromonospora_fulva-_-FJ772077--_UDF-1_T	25.0
g__83400	23.0
g__1354809	46.0
Geobacter_sulfurreducens_subsp._ethanolicus-_-AB762695--_OSK2A_T	27.0
Kocuria_uropygioeca-_-MF510149--_36_T	33.0
Haliea_atlantica-_-KM117233--_SM1351_T	25.0
Mesorhizobium_australicum-_-AY601516--_WSM2073_T	24.0
Marispirillum_indicum-_-EU642410--_B142_T	23.0
Microbacterium_soli-_-EF593038--_DCY17_T	31.0
Kushneria_indalinina-_-AJ427627--_CG2.1_T	28.0
Larsenimonas_salina-_-HF678441--_M1-18_T	28.0
Tabrizicola_algicola-_-KY363643--_ETT8_T	23.0
Rhizobium_leguminosarum-_-JQ085246--_USDA_2370_T	26.0
Arthrobacter_ipis-_-JAAOXD000000000--_IA7T	27.0
Cerasibacillus_terrae-_-MK335900--_CC-CFT480_T	27.0
Rheinheimera_baltica-_-AUDG01000123--_DSM_14885_T	25.0
Izhakiella_capsodis-_-KF436763--_N6PO6_T	26.0
Flavobacterium_arcticum-_-KU529277--_SM1502_T	13.0
Syntrophobacterium_sulfatireducens-_-AY651787--_TB8106_T	33.0
Cobetia_crustatorum-_-EU909460--_JO1_T	28.0
Nocardioides_vastitatis-_-MK787305--_21Sc5-5_T	26.0
g__1021	26.0
Anaerohalosphaera_lusitana-_-KY471010--_ST-NAGAB-D1_T	25.0
Vibrio_aestivus-_-HE613734--_M22_T	23.0
g__110932	25.0
Pasteurella_multocida_subsp._septica-_-AF294411--_CCUG_17977_T	34.0
g__110934	20.0
Porphyromonas_endodontalis-_-AY253728--_ATCC_35406_T	33.0
Melghirimyces_algeriensis-_-HQ383683--_NariEX_T	36.0
Shewanella_acanthi-_-MW074301--_FJAT-51860_/type_materialtype_strain_of_Shewanella_acanthiT	32.0
Planktotalea_frisia-_-FJ882052--_SH6-1_T	9.0
Pseudidiomarina_tainanensis-_-EU423907--_PIN1_T	8.0
Maribacter_ulvicola-_-AY271626--_KMM_3951_T	26.0
Glutamicibacter_mysorens-_-AJ617482--_DSM_12798_T	26.0
Anaerocella_delicata-_-AB298736--_WN081_T	31.0
g__2676755	26.0
Domibacillus_antri-_-KT719299--_XD80_T	31.0
Cohnella_rhizosphaerae-_-KF840792--_CSE-5610_T	34.0
Ornithinimicrobium_ciconiae-_-MK253308--_H23M54_T	19.0
Mesorhizobium_neociceri-_-HF931050--_CCANP35T	24.0
Terrabacter_aerolatus-_-EF212039--_5516J-36_T	25.0
Variovorax_dokdonensis-_-DQ178978--_DS-43_T	26.0
Geobacillus_thermodenitrificans_subsp._calidus-_-EU477773--_F84b_T	60.0
Micromonospora_equina-_-JF912511--_Y22_T	25.0
Garicola_koreensis-_-JX152781--_SJ5-4_T	30.0
Deinococcus_radiomollis-_-EF635404--_PO-04-20-132_T	27.0
Aurantiacibacter_gangjinensis-_-EU428782--_K7-2_T	25.0
Ureibacillus_massiliensis-_-AY677116--_4400831_T	28.0
Alicyclobacillus_dauci-_-AB916540--_4F_T	42.0
Desemzia_incerta-_-Y17300--_DSM_20581_T	31.0
Azotobacter_vinelandii-_-AB175657--_IAM_15004_T	28.0
Roseovarius_ramblicola-_-MF527111--_D15_T	26.0
Alkalitalea_saponilacus-_-HQ191474--_SC/BZ-SP2_T	22.0
Ameyamaea_chiangmaiensis-_-AB303366--_BCC_15744_T	28.0
g__164450	85.0
Bacillus_proteolyticus-_-KJ812418--_MCCC_1A00365_T	23.0
Anaerococcus_rubeinfantis-_-LN881592--_mt16_T	34.0
g__2893060	31.0
Occultella_gossypii-_-MW442969--_N2-46_T	30.0
Kitasatospora_niigatensis-_-AB022876--_SK-3406_T	25.0
Thermus_altitudinis-_-OM149375--_SYSUG00630_T	69.0
Lentilactobacillus_farraginis-_-AB262731--_NRIC_0676_T	24.0
Arsukibacterium_tuosuense-_-KC762310--_TS-T4_T	28.0
g__200903	29.0
Agromyces_subbeticus-_-ATXG01000026--_DSM_16689_T	25.0
Rheinheimera_coerulea-_-LT627667--_TAPG2_T	28.0
Aquimixticola_soesokkakensis-_-KJ794108--_DSSK2-3_T	24.0
Reyranella_terrae-_-KP185143--_11G32_T	27.0
Novipirellula_artificiosorum-_-MK554551--_Poly41_T	23.0
Thermus_filiformis-_-FR749951--_DSM_4687_T	52.0
Nocardioides_marinquilinus-_-JX164255--_CL-GY44_T	24.0
Phyllobacterium_myrsinacearum-_-AB681132--_NBRC_100019_T	28.0
g__1049006	44.0
g__2282693	31.0
Thermobacillus_xylanilyticus-_-AJ005795--_XE_T	43.0
Mesorhizobium_muleiense-_-HQ316710--_CCBAU_83963_T	24.0
Haladaptatus_salinisoli-_-MK680098--_PSR8T	29.0
Moraxella_equi-_-AF005184--_327/72_T	35.0
Nonlabens_marinus-_-AP014548--_S1-08_n_T	23.0
Tsukamurella_wratislaviensis-_-Z37138--_NCIMB_13082_T	26.0
Sphingomonas_populi-_-MK101439--_3-7_T	27.0
g__40222	18.0
g__184923	24.0
g__647960	26.0
Deferrivibrio_essentukiensis-_-JAJAFU000000000--_Es71-Z0220T	42.0
Peptoniphilus_stercorisuis-_-KF705042--_DSM_27563_T	31.0
Sphingomonas_alba-_-MZ675814--_SE158T	29.0
Salinivibrio_socompensis-_-HF953987--_S35_T	23.0
Nitratiruptor_labii-_-LC528620--_HRV44_T	40.0
Zobellella_taiwanensis-_-DQ195676--_ZT1_T	26.0
Pedobacter_soli-_-AM279215--_15-51_T	24.0
Streptococcus_mitis-_-AF003929--_ATCC_49456_T	35.0
Musicola_keenii-_-MT275741--_A3967T	23.0
Yersinia_kristensenii_subsp._kristensenii-_-AF366381--_ATCC_33638_T	28.0
Undibacterium_rivi-_-MW940780--_FT147WT	30.0
Pseudoalteromonas_byunsanensis-_-DQ011289--_FR1199_T	24.0
Corynebacterium_casei-_-AF267152--_LMG_S-19264_T	27.0
Liquorilactobacillus_nagelii-_-AB162131--_NRIC_0559_T	29.0
Bifidobacterium_dentium-_-D86183--_ATCC_27534_T	34.0
Streptomyces_caldifontis-_-LC065358--_NCCP-1331_T	23.0
Sphaerimonospora_thailandensis-_-HM043728--_NN276_T	26.0
Escherichia_coli-_-X80725--_ATCC_11775T_T	35.0
g__1884429	31.0
Exiguobacterium_indicum-_-AJ846291--_HHS_31_T	27.0
Sphingomonas_flavalba-_-MK693700--_ZLT-5_T	25.0
g__1242734	32.0
Deinococcus_murrayi-_-Y13041--_ALT-1b_LTP__T	28.0
g__2802295	28.0
Aquabacterium_terrae-_-MN519464--_S2T	33.0
Pseudomonas_guariconensis-_-HF674459--_PCAVU11_T	28.0
Marichromatium_bheemlicum-_-AM180952--_JA124_T	14.0
Psychrobium_conchae-_-AB930131--_BJ-1_T	15.0
Catellatospora_sichuanensis-_-LC223606--_H14505_T	27.0
g__177971	34.0
Lentibacillus_salarius-_-AY667493--_BH139_T	27.0
Chryseobacterium_salipaludis-_-LT795113--_JC490_T	28.0
Arcticibacterium_luteifluviistationis-_-KU529276--_SM1504_T	26.0
Aedoeadaptatus_acetigenes-_-JAOQJD000000000--_E51_T	32.0
Massilia_polaris-_-MN685328--_RP-1-19T	25.0
Duganella_vulcania-_-MN865810--_FT81WT	25.0
Aeromonas_enteropelogenes-_-X60415--_ATCC_49657_T	29.0
Evansella_cellulosilyticus-_-AB043852--_N-4_T	34.0
Qingshengfaniella_alkalisoli-_-MN218410--_LN3S51_T	26.0
Comamonas_zonglianii-_-GQ245981--_BF-3_T	26.0
Dickeya_dadantii_subsp._dieffenbachiae-_-AF520712--_CFBP_2051_T	24.0
Kribbella_lupini-_-AJ811962--_LU14_T	26.0
Microbacterium_lacusdiani-_-KP986565--_JXJ_CY01_T	31.0
Filimonas_aquilariae-_-KU248163--_CC-YHH650_T	23.0
g__46352	29.0
Thermus_albus-_-OM149374--_SYSUG00608_T	69.0
Methyloprofundus_sedimenti-_-KF484906--_WF1_T	21.0
Phaeobacterium_nitratireducens-_-HF968497--_AK40_T	15.0
Pseudomonas_linyingensis-_-HM246142--_LYBRD3-7_T	33.0
Sphingomonas_cynarae-_-HQ439186--_SPC-1_T	27.0
Nocardia_lijiangensis-_-AY779043--_YIM_33378_T	26.0
g__1848399	37.0
g__1848396	25.0
Microbacterium_gubbeenense-_-AF263563--_LMG_S-19263-_NCIMB_30129_T	31.0
Rhizobium_altiplani-_-KX022634--_BR_10423_T	29.0
Nocardiopsis_halotolerans-_-AJ290448--_DSM_44410_T	25.0
Microvirga_arsenatis-_-MN879271--_SYSU_G3D203_T	30.0
Gluconacetobacter_azotocaptans-_-AF192761--_CFN-Ca54_T	28.0
Novosphingobium_aquiterrae-_-FJ772064--_E-II-3_T	22.0
g__2005355	35.0
g__2005359	35.0
Vibrio_hippocampi-_-FN421434--_BFLP-4_T	24.0
Oceanidesulfovibrio_marinus-_-DQ365924--_E-2_T	26.0
Sphingobacterium_praediipecoris-_-LT854947--_G2-10_T	12.0
Vibrio_madracius-_-KC751062--_A-354_T	24.0
Rickettsia_honei-_-U17645--_RB_T	36.0
