"tip_label"	"accession"	"taxid"	"taxname"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"'AF025363, Citrobacter rodentium, Citrobacter rodentium, (AF025363), CDC 1843-73 T'"	"AF025363"	"67825"	"Citrobacter rodentium"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67825"	NA
"'AF025364, Citrobacter sedlakii, Citrobacter sedlakii, (AF025364), CDC 4696-86 T'"	"AF025364"	"67826"	"Citrobacter sedlakii"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67826"	NA
"'AJ508303, Kosakonia cowanii, Kosakonia cowanii, (AJ508303), CIP 107300 T'"	"AJ508303"	"208223"	"Kosakonia cowanii"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"208223"	NA
"'AB682276, Escherichia hermannii, Escherichia hermannii, (AB682276), NBRC 105704 T'"	"AB682276"	"565"	"Escherichia hermannii"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"565"	NA
"'AY373829, Salmonella subterranea, Salmonella subterranea, (AY373829), FRCl T'"	"AY373829"	"255519"	"Salmonella subterranea"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"255519"	NA
"'X87276, Klebsiella pneumoniae subsp. pneumoniae, Klebsiella pneumoniae subsp. pneumoniae, (X87276), DSM 30104 T T'"	"X87276"	"573"	"Klebsiella pneumoniae subsp. pneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"'CP010523, Klebsiella variicola subsp. variicola, Klebsiella variicola subsp. variicola, (CP010523), DSM 15968 n[G] T'"	"CP010523"	"244366"	"Klebsiella variicola subsp. variicola"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"244366"	NA
"'AF009171, Klebsiella granulomatis, Klebsiella granulomatis, (AF009171), no culture T'"	"AF009171"	"39824"	"Klebsiella granulomatis"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"39824"	NA
"'HG933295, Klebsiella quasipneumoniae subsp. similipneumoniae, Klebsiella quasipneumoniae subsp. similipneumoniae, (HG933295), 07A044 T'"	"HG933295"	"1463164"	"Klebsiella quasipneumoniae subsp. similipneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1463165"	NA
"'MK040622, Klebsiella africana, Klebsiella africana, (MK040622), SB5857 T'"	"MK040622"	"2489010"	"Klebsiella africana"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2489010"	NA
"'HG933296, Klebsiella quasipneumoniae subsp. quasipneumoniae, Klebsiella quasipneumoniae subsp. quasipneumoniae, (HG933296), 01A030 T'"	"HG933296"	"1667327"	"Klebsiella quasipneumoniae subsp. quasipneumoniae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1463165"	NA
"'AF130982, Klebsiella pneumoniae subsp. ozaenae, Klebsiella pneumoniae subsp. ozaenae, (AF130982), ATCC11296 T'"	"AF130982"	"574"	"Klebsiella pneumoniae subsp. ozaenae"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"'MK040621, Klebsiella variicola subsp. tropica, Klebsiella variicola subsp. tropica, (MK040621), SB5531 T'"	"MK040621"	"573"	"Klebsiella variicola subsp. tropica"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"'Y17657, Klebsiella pneumoniae subsp. rhinoscleromatis, Klebsiella pneumoniae subsp. rhinoscleromatis, (Y17657), ATCC13884T T'"	"Y17657"	"573"	"Klebsiella pneumoniae subsp. rhinoscleromatis"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA
"'AJ251469, Enterobacter cloacae subsp. cloacae, Enterobacter cloacae subsp. cloacae, (AJ251469), ATCC13047T T'"	"AJ251469"	"550"	"Enterobacter cloacae subsp. cloacae"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"'AJ417484, Enterobacter cloacae, Enterobacter cloacae, (AJ417484), ATCC 13047 T'"	"AJ417484"	"550"	"Enterobacter cloacae"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"'HQ651841, Enterobacter cloacae subsp. dissolvens, Enterobacter cloacae subsp. dissolvens, (HQ651841), ATCC 23373 T'"	"HQ651841"	"69219"	"Enterobacter cloacae subsp. dissolvens"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA
"'HQ888848, Enterobacter siamensis, Enterobacter siamensis, (HQ888848), C2361 T'"	"HQ888848"	"990143"	"Enterobacter siamensis"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"990143"	NA
"'CP018016, Kosakonia radicincitans, Kosakonia radicincitans, (CP018016), DSM 16656 T'"	"CP018016"	"1177180"	"Kosakonia radicincitans"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"283686"	"1177180"
"'EF488759, Kosakonia oryzae, Kosakonia oryzae, (EF488759), Ola 51 T'"	"EF488759"	"497725"	"Kosakonia oryzae"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"497725"	NA
"'JF795013, Kosakonia oryziphila, Kosakonia oryziphila, (JF795013), REICA_142 T'"	"JF795013"	"1005667"	"Kosakonia oryziphila"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005667"	NA
"'EU672801, Kosakonia arachidis, Kosakonia arachidis, (EU672801), Ah-143 T'"	"EU672801"	"551989"	"Kosakonia arachidis"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"551989"	NA
"'JQ001784, Kosakonia sacchari, Kosakonia sacchari, (JQ001784), SP1 T'"	"JQ001784"	"1158459"	"Kosakonia sacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1158459"	NA
"'KP345901, Kosakonia pseudosacchari, Kosakonia pseudosacchari, (KP345901), JM-387 T'"	"KP345901"	"1646340"	"Kosakonia pseudosacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1646340"	NA
"'JF795011, Kosakonia oryzendophytica, Kosakonia oryzendophytica, (JF795011), REICA_082 T'"	"JF795011"	"1005665"	"Kosakonia oryzendophytica"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005665"	NA
"'MK567956, Kosakonia quasisacchari, Kosakonia quasisacchari, (MK567956), WCHEs120001 T'"	"MK567956"	"2529380"	"Kosakonia quasisacchari"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"2529380"	NA
"'DQ273681, Siccibacter turicensis, Siccibacter turicensis, (DQ273681), LMG 23730 T'"	"DQ273681"	"1388748"	"Siccibacter turicensis"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	"357233"	"1388748"
"'LK054215, Siccibacter colletis, Siccibacter colletis, (LK054215), 1383 T'"	"LK054215"	"1505757"	"Siccibacter colletis"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	"1505757"	NA
"'JN657217, Phytobacter massiliensis, Phytobacter massiliensis, (JN657217), JC163 T'"	"JN657217"	"1095768"	"Phytobacter massiliensis"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1485952"	"1095768"
"'KX893413, Phytobacter palmae, Phytobacter palmae, (KX893413), S29 T'"	"KX893413"	"1855371"	"Phytobacter palmae"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1855371"	NA
"'FJ611881, Phytobacter ursingii, Phytobacter ursingii, (FJ611881), ATCC 27989 T'"	"FJ611881"	"1972431"	"Phytobacter ursingii"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1972431"	NA
"'DQ821583, Phytobacter diazotrophicus, Phytobacter diazotrophicus, (DQ821583), LS 8 T'"	"DQ821583"	"395631"	"Phytobacter diazotrophicus"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"395631"	NA
"'AB273741, Citrobacter youngae, Citrobacter youngae, (AB273741), GTC 1314 T'"	"AB273741"	"133448"	"Citrobacter youngae"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"133448"	NA
"'LC368255, Enterobacter oligotrophicus, Enterobacter oligotrophicus, (LC368255), CCA6 T'"	"LC368255"	"2478464"	"Enterobacter oligotrophicus"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2478464"	NA
"'MF118666, Cronobacter dublinensis subsp. dublinensis, Cronobacter dublinensis subsp. dublinensis, (MF118666), DSM 18705 T'"	"MF118666"	"413498"	"Cronobacter dublinensis subsp. dublinensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	NA
"'EF059838, Cronobacter dublinensis subsp. lactaridi, Cronobacter dublinensis subsp. lactaridi, (EF059838), E464 T'"	"EF059838"	"1159496"	"Cronobacter dublinensis subsp. lactaridi"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	"1159496"
"'EF059841, Cronobacter dublinensis subsp. lausannensis, Cronobacter dublinensis subsp. lausannensis, (EF059841), E515 T'"	"EF059841"	"1159560"	"Cronobacter dublinensis subsp. lausannensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	"1159560"
"'EF059877, Cronobacter universalis, Cronobacter universalis, (EF059877), E797; NCTC 9529 T'"	"EF059877"	"1074000"	"Cronobacter universalis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"535744"	"1074000"
"'EF059891, Cronobacter turicensis, Cronobacter turicensis, (EF059891), z3032 T'"	"EF059891"	"693216"	"Cronobacter turicensis"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413502"	"693216"
"'AJKU01000067, Cronobacter muytjensii, Cronobacter muytjensii, (AJKU01000067), ATCC 51329 T'"	"AJKU01000067"	"1159613"	"Cronobacter muytjensii"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413501"	"1159613"
"'CAKW01000111, Cronobacter condimenti, Cronobacter condimenti, (CAKW01000111), 1330 T'"	"CAKW01000111"	"1073999"	"Cronobacter condimenti"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"1163710"	"1073999"
"'EF088379, Cronobacter sakazakii, Cronobacter sakazakii, (EF088379), ATCC 29544 T'"	"EF088379"	"28141"	"Cronobacter sakazakii"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"28141"	NA
"'AJKV01000019, Cronobacter malonaticus, Cronobacter malonaticus, (AJKV01000019), LMG 23826 T'"	"AJKV01000019"	"1159491"	"Cronobacter malonaticus"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413503"	"1159491"
"'DQ273684, Franconibacter pulveris, Franconibacter pulveris, (DQ273684), 601/05 T'"	"DQ273684"	"435910"	"Franconibacter pulveris"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"435910"	NA
"'KX865161, Franconibacter daqui, Franconibacter daqui, (KX865161), DL503 T'"	"KX865161"	"2047724"	"Franconibacter daqui"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"2047724"	NA
"'DQ273688, Franconibacter helveticus, Franconibacter helveticus, (DQ273688), LMG 23732 T'"	"DQ273688"	"357240"	"Franconibacter helveticus"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"357240"	NA
"'CP001560, Shimwellia blattae, Shimwellia blattae, (CP001560), DSM 4481 T'"	"CP001560"	"630626"	"Shimwellia blattae"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	"563"	"630626"
"'FJ267523, Shimwellia pseudoproteus, Shimwellia pseudoproteus, (FJ267523), 521 T'"	"FJ267523"	"570012"	"Shimwellia pseudoproteus"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	"570012"	NA
"'MW411192, Tenebrionibacter intestinalis, Tenebrionibacter intestinalis, (MW411192), BIT-L3 T'"	"MW411192"	"2799638"	"Tenebrionibacter intestinalis"	"2"	"1224"	"1236"	"91347"	"543"	"2918836"	"2799638"	NA
"'MW680835, Tenebrionicola larvae, Tenebrionicola larvae, (MW680835), YMB-R21 T'"	"MW680835"	"2815733"	"Tenebrionicola larvae"	"2"	"1224"	"1236"	"91347"	"543"	"2943312"	"2815733"	NA
"'KF500917, Erwinia teleogrylli, Erwinia teleogrylli, (KF500917), SCU-B244 T'"	"KF500917"	"1384589"	"Erwinia teleogrylli"	"2"	"1224"	"1236"	"91347"	"543"	"2943317"	"1384589"	NA
"'AJ233410, Erwinia amylovora, Erwinia amylovora, (AJ233410), DSM 30165 T'"	"AJ233410"	"552"	"Erwinia amylovora"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"552"	NA
"'GQ405202, Erwinia piriflorinigrans, Erwinia piriflorinigrans, (GQ405202), CECT 7348 T'"	"GQ405202"	"1161919"	"Erwinia piriflorinigrans"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"665097"	"1161919"
"'AB242880, Erwinia pyrifoliae, Erwinia pyrifoliae, (AB242880), DSM12163 T'"	"AB242880"	"644651"	"Erwinia pyrifoliae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"79967"	"644651"
"'AB546198, Erwinia uzenensis, Erwinia uzenensis, (AB546198), YPPS951 T'"	"AB546198"	"717607"	"Erwinia uzenensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"717607"	NA
"'AM055716, Erwinia tasmaniensis, Erwinia tasmaniensis, (AM055716), Et1/99 T'"	"AM055716"	"465817"	"Erwinia tasmaniensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"338565"	"465817"
"'MK722097, Mixta tenebrionis, Mixta tenebrionis, (MK722097), BIT-26 T'"	"MK722097"	"2562439"	"Mixta tenebrionis"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"2562439"	NA
"'FN547376, Erwinia aphidicola, Erwinia aphidicola, (FN547376), LMG 24877 T'"	"FN547376"	"68334"	"Erwinia aphidicola"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"68334"	NA
"'AJ233417, Erwinia rhapontici, Erwinia rhapontici, (AJ233417), DSM 4484 T'"	"AJ233417"	"55212"	"Erwinia rhapontici"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55212"	NA
"'Z96086, Erwinia persicina, Erwinia persicina, (Z96086), LMG 11254 T'"	"Z96086"	"55211"	"Erwinia persicina"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55211"	NA
"'Y13249, Erwinia billingiae, Erwinia billingiae, (Y13249), LMG 2613 T'"	"Y13249"	"182337"	"Erwinia billingiae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"182337"	NA
"'LN624761, Erwinia endophytica, Erwinia endophytica, (LN624761), BSTT30 T'"	"LN624761"	"1563158"	"Erwinia endophytica"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1563158"	NA
"'EU216736, Pantoea eucrina, Pantoea eucrina, (EU216736), LMG 2781 T'"	"EU216736"	"472693"	"Pantoea eucrina"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"472693"	NA
"'JF295057, Pantoea wallisii, Pantoea wallisii, (JF295057), LMG 26277 T'"	"JF295057"	"1076551"	"Pantoea wallisii"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1076551"	NA
"'DQ504305, Pantoea dispersa, Pantoea dispersa, (DQ504305), LMG2603 T'"	"DQ504305"	"59814"	"Pantoea dispersa"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"59814"	NA
"'KJ427829, Pantoea coffeiphila, Pantoea coffeiphila, (KJ427829), Ca04 T'"	"KJ427829"	"1465635"	"Pantoea coffeiphila"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1465635"	NA
"'AJ233414, Erwinia mallotivora, Erwinia mallotivora, (AJ233414), DSM 4565 T'"	"AJ233414"	"69222"	"Erwinia mallotivora"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69222"	NA
"'JQ809696, Erwinia psidii, Erwinia psidii, (JQ809696), LMG 7039 T'"	"JQ809696"	"69224"	"Erwinia psidii"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69224"	NA
"'Y13250, Erwinia tracheiphila, Erwinia tracheiphila, (Y13250), LMG 2906-T T'"	"Y13250"	"65700"	"Erwinia tracheiphila"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"65700"	NA
"'KP326384, Mixta intestinalis, Mixta intestinalis, (KP326384), 29Y89B T'"	"KP326384"	"1615494"	"Mixta intestinalis"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1615494"	NA
"'AB907776, Mixta theicola, Mixta theicola, (AB907776), QC88-366 T'"	"AB907776"	"1458355"	"Mixta theicola"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1458355"	NA
"'GU810925, Erwinia oleae, Erwinia oleae, (GU810925), DAPP-PG 531 T'"	"GU810925"	"796334"	"Erwinia oleae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"796334"	NA
"'KY744694, Izhakiella australiensis, Izhakiella australiensis, (KY744694), D4N98 T'"	"KY744694"	"1926881"	"Izhakiella australiensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1926881"	NA
"'KF436763, Izhakiella capsodis, Izhakiella capsodis, (KF436763), N6PO6 T'"	"KF436763"	"1367852"	"Izhakiella capsodis"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1367852"	NA
"'FJ611848, Erwinia gerundensis, Erwinia gerundensis, (FJ611848), EM595 T'"	"FJ611848"	"1619313"	"Erwinia gerundensis"	"2"	"1224"	"1236"	"91347"	"1903409"	"3026546"	"1619313"	NA
"'GQ367478, Mixta calida, Mixta calida, (GQ367478), 1400/07 T'"	"GQ367478"	"665913"	"Mixta calida"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665913"	NA
"'GQ367483, Mixta gaviniae, Mixta gaviniae, (GQ367483), A18/07 T'"	"GQ367483"	"665914"	"Mixta gaviniae"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665914"	NA
"'MG923525, Pantoea piersonii, Pantoea piersonii, (MG923525), IIIF1SW-P2 T'"	"MG923525"	"2364647"	"Pantoea piersonii"	"2"	"1224"	"1236"	"91347"	"1903409"	"2662752"	"2364647"	NA
"'MZ457073, Erwinia phyllosphaerae, Erwinia phyllosphaerae, (MZ457073), CMYE1 T'"	"MZ457073"	"2853256"	"Erwinia phyllosphaerae"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"2853256"	NA
"'KM870781, Erwinia iniecta, Erwinia iniecta, (KM870781), B120 T'"	"KM870781"	"1560201"	"Erwinia iniecta"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1560201"	NA
"'FR870447, Erwinia toletana, Erwinia toletana, (FR870447), CECT 5263 T'"	"FR870447"	"92490"	"Erwinia toletana"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"92490"	NA
"'GU166291, Erwinia typographi, Erwinia typographi, (GU166291), Y1 T'"	"GU166291"	"371042"	"Erwinia typographi"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"371042"	NA
"'AJ233413, Pantoea cypripedii, Pantoea cypripedii, (AJ233413), DSM 3873 T'"	"AJ233413"	"55209"	"Pantoea cypripedii"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"55209"	NA
"'AJ508302, Enterobacter hormaechei subsp. hormaechei, Enterobacter hormaechei subsp. hormaechei, (AJ508302), CIP 103441 T'"	"AJ508302"	"888063"	"Enterobacter hormaechei subsp. hormaechei"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	"888063"
"'MK567958, Enterobacter quasihormaechei, Enterobacter quasihormaechei, (MK567958), WCHEs120003 T'"	"MK567958"	"2529382"	"Enterobacter quasihormaechei"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2529382"	NA
"'HF679035, Enterobacter hormaechei subsp. xiangfangensis, Enterobacter hormaechei subsp. xiangfangensis, (HF679035), 10-17 T'"	"HF679035"	"1296536"	"Enterobacter hormaechei subsp. xiangfangensis"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
"'AB004748, Pluralibacter gergoviae, Pluralibacter gergoviae, (AB004748), JCM1234 T'"	"AB004748"	"1354260"	"Pluralibacter gergoviae"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	"61647"	"1354260"
"'AJ010486, Pluralibacter pyrinus, Pluralibacter pyrinus, (AJ010486), KCTC2520 T'"	"AJ010486"	"81476"	"Pluralibacter pyrinus"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	"81476"	NA
"'CP017186, Enterobacter hormaechei subsp. hoffmannii, Enterobacter hormaechei subsp. hoffmannii, (CP017186), DSM 14563 n[G] T'"	"CP017186"	"1812934"	"Enterobacter hormaechei subsp. hoffmannii"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
"'AJ853889, Enterobacter hormaechei subsp. oharae, Enterobacter hormaechei subsp. oharae, (AJ853889), EN-314 T'"	"AJ853889"	"301102"	"Enterobacter hormaechei subsp. oharae"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
"'AJ853890, Enterobacter hormaechei subsp. steigerwaltii, Enterobacter hormaechei subsp. steigerwaltii, (AJ853890), EN-562 T'"	"AJ853890"	"299766"	"Enterobacter hormaechei subsp. steigerwaltii"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
"'CP017183, Enterobacter hormaechei subsp. xiangfangensis, Enterobacter hormaechei subsp. xiangfangensis, (CP017183), LMG27195 n[G] T'"	"CP017183"	"1296536"	"Enterobacter hormaechei subsp. xiangfangensis"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA
